Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,24.288,24.288,wifi radio,8.719294848
24.288,61.486,37.198,wifi running,0.4397026788
61.486,61.486,0.0,wifi radio,0.0
0.0,6.156621,6.156621,core 0 cpu_idle start,0.150401571998
6.156621,61.574,55.417379,core 0 cpu_idle,1.35380445176
0.0,6.156419,6.156419,core 1 cpu_idle start,0.150396637292
6.156419,61.574,55.417581,core 1 cpu_idle,1.35380938647
0.0,6.251745,6.251745,core 2 cpu_idle start,0.152725379024
6.251745,61.574,55.322255,core 2 cpu_idle,1.35148064474
0.0,6.157113,6.157113,core 3 cpu_idle start,0.150413591184
6.157113,61.574,55.416887,core 3 cpu_idle,1.35379243258
0.0,8.28196,8.28196,core 4 cpu_idle start,0.20232198851
8.28196,61.574,53.29204,core 4 cpu_idle,1.30188403525
0.0,6.451083,6.451083,core 5 cpu_idle start,0.157595054867
6.451083,61.574,55.122917,core 5 cpu_idle,1.34661096889
0.0,8.28198,8.28198,core 6 cpu_idle start,0.202322477095
8.28198,61.574,53.29202,core 6 cpu_idle,1.30188354666
0.0,8.281992,8.281992,core 7 cpu_idle start,0.202322770246
8.281992,61.574,53.292008,core 7 cpu_idle,1.30188325351
