Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.428,20.428,wifi radio,7.333570288
20.428,21.475,1.047,wifi running,0.0123761682
21.475,36.588,15.113,wifi radio,5.425506548
36.588,36.619,0.031,wifi running,0.0003664386
36.619,51.669,15.05,wifi radio,5.4028898
51.669,61.322,9.653,wifi running,0.1141042518
61.322,61.322,0.0,wifi radio,0.0
0.0,6.535197,6.535197,core 0 cpu_idle start,0.15964989596
6.535197,61.515,54.979803,core 0 cpu_idle,1.34311480264
0.0,6.535356,6.535356,core 1 cpu_idle start,0.159653780209
6.535356,61.515,54.979644,core 1 cpu_idle,1.34311091839
0.0,6.535253,6.535253,core 2 cpu_idle start,0.159651263998
6.535253,61.515,54.979747,core 2 cpu_idle,1.3431134346
0.0,6.535758,6.535758,core 3 cpu_idle start,0.159663600764
6.535758,61.515,54.979242,core 3 cpu_idle,1.34310109784
0.0,8.745678,8.745678,core 4 cpu_idle start,0.213650266825
8.745678,61.515,52.769322,core 4 cpu_idle,1.28911443178
0.0,9.253086,9.253086,core 5 cpu_idle start,0.226045858635
9.253086,61.515,52.261914,core 5 cpu_idle,1.27671883997
0.0,11.671561,11.671561,core 6 cpu_idle start,0.285127364844
11.671561,61.515,49.843439,core 6 cpu_idle,1.21763733376
0.0,11.67156,11.67156,core 7 cpu_idle start,0.285127340414
11.67156,61.515,49.84344,core 7 cpu_idle,1.21763735819
